datetime_gmt,solar_gen
2021-05-01 00:00:00+00:00,0.0
2021-05-01 00:30:00+00:00,0.0
2021-05-01 01:00:00+00:00,0.0
2021-05-01 01:30:00+00:00,0.0
2021-05-01 02:00:00+00:00,0.0
2021-05-01 02:30:00+00:00,0.0
2021-05-01 03:00:00+00:00,0.0
2021-05-01 03:30:00+00:00,0.0
2021-05-01 04:00:00+00:00,0.0
2021-05-01 04:30:00+00:00,0.0
2021-05-01 05:00:00+00:00,0.00165
2021-05-01 05:30:00+00:00,0.02063
2021-05-01 06:00:00+00:00,0.05994
2021-05-01 06:30:00+00:00,0.11295
2021-05-01 07:00:00+00:00,0.1759
2021-05-01 07:30:00+00:00,0.2506
2021-05-01 08:00:00+00:00,0.32311
2021-05-01 08:30:00+00:00,0.35557
2021-05-01 09:00:00+00:00,0.39526
2021-05-01 09:30:00+00:00,0.4271
2021-05-01 10:00:00+00:00,0.43094
2021-05-01 10:30:00+00:00,0.39786
2021-05-01 11:00:00+00:00,0.39579
2021-05-01 11:30:00+00:00,0.40644
2021-05-01 12:00:00+00:00,0.41256
2021-05-01 12:30:00+00:00,0.43001
2021-05-01 13:00:00+00:00,0.4211
2021-05-01 13:30:00+00:00,0.41397
2021-05-01 14:00:00+00:00,0.39057
2021-05-01 14:30:00+00:00,0.37004
2021-05-01 15:00:00+00:00,0.31492
2021-05-01 15:30:00+00:00,0.25844
2021-05-01 16:00:00+00:00,0.22158
2021-05-01 16:30:00+00:00,0.20342
2021-05-01 17:00:00+00:00,0.17432
2021-05-01 17:30:00+00:00,0.13367
2021-05-01 18:00:00+00:00,0.0928
2021-05-01 18:30:00+00:00,0.05527
2021-05-01 19:00:00+00:00,0.02168
2021-05-01 19:30:00+00:00,0.0023
2021-05-01 20:00:00+00:00,0.0
2021-05-01 20:30:00+00:00,0.0
2021-05-01 21:00:00+00:00,0.0
2021-05-01 21:30:00+00:00,0.0
2021-05-01 22:00:00+00:00,0.0
2021-05-01 22:30:00+00:00,0.0
2021-05-01 23:00:00+00:00,0.0
2021-05-01 23:30:00+00:00,0.0
2021-05-02 00:00:00+00:00,0.0
2021-05-02 00:30:00+00:00,0.0
2021-05-02 01:00:00+00:00,0.0
2021-05-02 01:30:00+00:00,0.0
2021-05-02 02:00:00+00:00,0.0
2021-05-02 02:30:00+00:00,0.0
2021-05-02 03:00:00+00:00,0.0
2021-05-02 03:30:00+00:00,0.0
2021-05-02 04:00:00+00:00,0.0
2021-05-02 04:30:00+00:00,0.0
2021-05-02 05:00:00+00:00,0.00198
2021-05-02 05:30:00+00:00,0.02366
2021-05-02 06:00:00+00:00,0.06891
2021-05-02 06:30:00+00:00,0.12767
2021-05-02 07:00:00+00:00,0.19317
2021-05-02 07:30:00+00:00,0.25647
2021-05-02 08:00:00+00:00,0.32805
2021-05-02 08:30:00+00:00,0.41223
2021-05-02 09:00:00+00:00,0.45432
2021-05-02 09:30:00+00:00,0.46857
2021-05-02 10:00:00+00:00,0.48722
2021-05-02 10:30:00+00:00,0.49546
2021-05-02 11:00:00+00:00,0.47895
2021-05-02 11:30:00+00:00,0.47096
2021-05-02 12:00:00+00:00,0.5052
2021-05-02 12:30:00+00:00,0.47957
2021-05-02 13:00:00+00:00,0.46616
2021-05-02 13:30:00+00:00,0.38629
2021-05-02 14:00:00+00:00,0.385
2021-05-02 14:30:00+00:00,0.38681
2021-05-02 15:00:00+00:00,0.37513
2021-05-02 15:30:00+00:00,0.34172
2021-05-02 16:00:00+00:00,0.2698
2021-05-02 16:30:00+00:00,0.22668
2021-05-02 17:00:00+00:00,0.16674
2021-05-02 17:30:00+00:00,0.1141
2021-05-02 18:00:00+00:00,0.08487
2021-05-02 18:30:00+00:00,0.04783
2021-05-02 19:00:00+00:00,0.01639
2021-05-02 19:30:00+00:00,0.00197
2021-05-02 20:00:00+00:00,0.0
2021-05-02 20:30:00+00:00,0.0
2021-05-02 21:00:00+00:00,0.0
2021-05-02 21:30:00+00:00,0.0
2021-05-02 22:00:00+00:00,0.0
2021-05-02 22:30:00+00:00,0.0
2021-05-02 23:00:00+00:00,0.0
2021-05-02 23:30:00+00:00,0.0
2021-05-03 00:00:00+00:00,0.0
2021-05-03 00:30:00+00:00,0.0
2021-05-03 01:00:00+00:00,0.0
2021-05-03 01:30:00+00:00,0.0
2021-05-03 02:00:00+00:00,0.0
2021-05-03 02:30:00+00:00,0.0
2021-05-03 03:00:00+00:00,0.0
2021-05-03 03:30:00+00:00,0.0
2021-05-03 04:00:00+00:00,0.0
2021-05-03 04:30:00+00:00,0.0
2021-05-03 05:00:00+00:00,0.00323
2021-05-03 05:30:00+00:00,0.02146
2021-05-03 06:00:00+00:00,0.04884
2021-05-03 06:30:00+00:00,0.08052
2021-05-03 07:00:00+00:00,0.12567
2021-05-03 07:30:00+00:00,0.16484
2021-05-03 08:00:00+00:00,0.20738
2021-05-03 08:30:00+00:00,0.23677
2021-05-03 09:00:00+00:00,0.24326
2021-05-03 09:30:00+00:00,0.24215
2021-05-03 10:00:00+00:00,0.28278
2021-05-03 10:30:00+00:00,0.26467
2021-05-03 11:00:00+00:00,0.25547
2021-05-03 11:30:00+00:00,0.22455
2021-05-03 12:00:00+00:00,0.18771
2021-05-03 12:30:00+00:00,0.17487
2021-05-03 13:00:00+00:00,0.15941
2021-05-03 13:30:00+00:00,0.13257
2021-05-03 14:00:00+00:00,0.11213
2021-05-03 14:30:00+00:00,0.09637
2021-05-03 15:00:00+00:00,0.08029
2021-05-03 15:30:00+00:00,0.06441
2021-05-03 16:00:00+00:00,0.05368
2021-05-03 16:30:00+00:00,0.03979
2021-05-03 17:00:00+00:00,0.0284
2021-05-03 17:30:00+00:00,0.02416
2021-05-03 18:00:00+00:00,0.02439
2021-05-03 18:30:00+00:00,0.0197
2021-05-03 19:00:00+00:00,0.00699
2021-05-03 19:30:00+00:00,0.00132
2021-05-03 20:00:00+00:00,0.0
2021-05-03 20:30:00+00:00,0.0
2021-05-03 21:00:00+00:00,0.0
2021-05-03 21:30:00+00:00,0.0
2021-05-03 22:00:00+00:00,0.0
2021-05-03 22:30:00+00:00,0.0
2021-05-03 23:00:00+00:00,0.0
2021-05-03 23:30:00+00:00,0.0
2021-05-04 00:00:00+00:00,0.0
2021-05-04 00:30:00+00:00,0.0
2021-05-04 01:00:00+00:00,0.0
2021-05-04 01:30:00+00:00,0.0
2021-05-04 02:00:00+00:00,0.0
2021-05-04 02:30:00+00:00,0.0
2021-05-04 03:00:00+00:00,0.0
2021-05-04 03:30:00+00:00,0.0
2021-05-04 04:00:00+00:00,0.0
2021-05-04 04:30:00+00:00,0.0
2021-05-04 05:00:00+00:00,0.00118
2021-05-04 05:30:00+00:00,0.01522
2021-05-04 06:00:00+00:00,0.04066
2021-05-04 06:30:00+00:00,0.06781
2021-05-04 07:00:00+00:00,0.10685
2021-05-04 07:30:00+00:00,0.13541
2021-05-04 08:00:00+00:00,0.16532
2021-05-04 08:30:00+00:00,0.20187
2021-05-04 09:00:00+00:00,0.24232
2021-05-04 09:30:00+00:00,0.29068
2021-05-04 10:00:00+00:00,0.32543
2021-05-04 10:30:00+00:00,0.37767
2021-05-04 11:00:00+00:00,0.38071
2021-05-04 11:30:00+00:00,0.42067
2021-05-04 12:00:00+00:00,0.45369
2021-05-04 12:30:00+00:00,0.4858
2021-05-04 13:00:00+00:00,0.46655
2021-05-04 13:30:00+00:00,0.48763
2021-05-04 14:00:00+00:00,0.45834
2021-05-04 14:30:00+00:00,0.42341
2021-05-04 15:00:00+00:00,0.37456
2021-05-04 15:30:00+00:00,0.34036
2021-05-04 16:00:00+00:00,0.27054
2021-05-04 16:30:00+00:00,0.24866
2021-05-04 17:00:00+00:00,0.21532
2021-05-04 17:30:00+00:00,0.16043
2021-05-04 18:00:00+00:00,0.11492
2021-05-04 18:30:00+00:00,0.05694
2021-05-04 19:00:00+00:00,0.02347
2021-05-04 19:30:00+00:00,0.00393
2021-05-04 20:00:00+00:00,0.0
2021-05-04 20:30:00+00:00,0.0
2021-05-04 21:00:00+00:00,0.0
2021-05-04 21:30:00+00:00,0.0
2021-05-04 22:00:00+00:00,0.0
2021-05-04 22:30:00+00:00,0.0
2021-05-04 23:00:00+00:00,0.0
2021-05-04 23:30:00+00:00,0.0
2021-05-05 00:00:00+00:00,0.0
2021-05-05 00:30:00+00:00,0.0
2021-05-05 01:00:00+00:00,0.0
2021-05-05 01:30:00+00:00,0.0
2021-05-05 02:00:00+00:00,0.0
2021-05-05 02:30:00+00:00,0.0
2021-05-05 03:00:00+00:00,0.0
2021-05-05 03:30:00+00:00,0.0
2021-05-05 04:00:00+00:00,0.0
2021-05-05 04:30:00+00:00,0.0
2021-05-05 05:00:00+00:00,0.0044
2021-05-05 05:30:00+00:00,0.03146
2021-05-05 06:00:00+00:00,0.0826
2021-05-05 06:30:00+00:00,0.14264
2021-05-05 07:00:00+00:00,0.2154
2021-05-05 07:30:00+00:00,0.28705
2021-05-05 08:00:00+00:00,0.35847
2021-05-05 08:30:00+00:00,0.42012
2021-05-05 09:00:00+00:00,0.46337
2021-05-05 09:30:00+00:00,0.48927
2021-05-05 10:00:00+00:00,0.5174
2021-05-05 10:30:00+00:00,0.52574
2021-05-05 11:00:00+00:00,0.54589
2021-05-05 11:30:00+00:00,0.55136
2021-05-05 12:00:00+00:00,0.51293
2021-05-05 12:30:00+00:00,0.49924
2021-05-05 13:00:00+00:00,0.44045
2021-05-05 13:30:00+00:00,0.41081
2021-05-05 14:00:00+00:00,0.3411
2021-05-05 14:30:00+00:00,0.38057
2021-05-05 15:00:00+00:00,0.37235
2021-05-05 15:30:00+00:00,0.33972
2021-05-05 16:00:00+00:00,0.25612
2021-05-05 16:30:00+00:00,0.25042
2021-05-05 17:00:00+00:00,0.21194
2021-05-05 17:30:00+00:00,0.16073
2021-05-05 18:00:00+00:00,0.11588
2021-05-05 18:30:00+00:00,0.07666
2021-05-05 19:00:00+00:00,0.03199
2021-05-05 19:30:00+00:00,0.00571
2021-05-05 20:00:00+00:00,0.0
2021-05-05 20:30:00+00:00,0.0
2021-05-05 21:00:00+00:00,0.0
2021-05-05 21:30:00+00:00,0.0
2021-05-05 22:00:00+00:00,0.0
2021-05-05 22:30:00+00:00,0.0
2021-05-05 23:00:00+00:00,0.0
2021-05-05 23:30:00+00:00,0.0
2021-05-06 00:00:00+00:00,0.0
2021-05-06 00:30:00+00:00,0.0
2021-05-06 01:00:00+00:00,0.0
2021-05-06 01:30:00+00:00,0.0
2021-05-06 02:00:00+00:00,0.0
2021-05-06 02:30:00+00:00,0.0
2021-05-06 03:00:00+00:00,0.0
2021-05-06 03:30:00+00:00,0.0
2021-05-06 04:00:00+00:00,0.0
2021-05-06 04:30:00+00:00,0.0
2021-05-06 05:00:00+00:00,0.00475
2021-05-06 05:30:00+00:00,0.02469
2021-05-06 06:00:00+00:00,0.05537
2021-05-06 06:30:00+00:00,0.08766
2021-05-06 07:00:00+00:00,0.13204
2021-05-06 07:30:00+00:00,0.21282
2021-05-06 08:00:00+00:00,0.26112
2021-05-06 08:30:00+00:00,0.28807
2021-05-06 09:00:00+00:00,0.31714
2021-05-06 09:30:00+00:00,0.34952
2021-05-06 10:00:00+00:00,0.40301
2021-05-06 10:30:00+00:00,0.48212
2021-05-06 11:00:00+00:00,0.52121
2021-05-06 11:30:00+00:00,0.51608
2021-05-06 12:00:00+00:00,0.55863
2021-05-06 12:30:00+00:00,0.47047
2021-05-06 13:00:00+00:00,0.51428
2021-05-06 13:30:00+00:00,0.51829
2021-05-06 14:00:00+00:00,0.49133
