,Quarter,Consumption,Income,Production,Savings,Unemployment
0,1970 Q1,0.615986218,0.9722610429999999,-2.4527003119999997,4.810311502,0.9
1,1970 Q2,0.46037569,1.169084717,-0.551525087,7.287992337,0.5
2,1970 Q3,0.876791423,1.55327055,-0.35870786200000004,7.289013063,0.5
3,1970 Q4,-0.274245141,-0.255272381,-2.185454855,0.985229644,0.7
4,1971 Q1,1.897370758,1.9871536280000002,1.90973412,3.657770614,-0.1
5,1971 Q2,0.9119929090000001,1.447334175,0.901535843,6.051341804,-0.1
6,1971 Q3,0.794538845,0.531811929,0.308019416,-0.445832214,0.1
7,1971 Q4,1.6485874669999998,1.160125137,2.291304415,-1.53087186,0.0
8,1972 Q1,1.313722178,0.457011505,4.149573867,-4.35859438,-0.2
9,1972 Q2,1.891474954,1.016624409,1.89062398,-5.054525795,-0.1
10,1972 Q3,1.530714,1.9041012640000001,1.273352897,5.809959038,-0.2
11,1972 Q4,2.318294715,3.8902586610000003,3.4368920660000004,16.04471706,-0.3
12,1973 Q1,1.81073916,0.708252663,2.7990763569999997,-5.348868495,-0.3
13,1973 Q2,-0.041739961,0.79430954,0.8176886179999999,8.426034362000001,0.0
14,1973 Q3,0.354235565,0.433818275,0.868996932,2.758795652,-0.1
15,1973 Q4,-0.291632155,1.093809792,1.4729618690000001,11.14642986,0.1
16,1974 Q1,-0.877027936,-1.661684821,-0.882483578,-2.5335144869999997,0.2
17,1974 Q2,0.35113554799999996,-0.9383532090000001,0.074279194,-6.592644641000001,0.3
18,1974 Q3,0.409597702,0.094487794,-0.41314971,0.51717884,0.5
19,1974 Q4,-1.475808634,-0.122595985,-4.0641189319999995,11.3433954,1.3
20,1975 Q1,0.8322576159999999,-0.163695461,-6.851039124,-5.476190695,1.4
21,1975 Q2,1.65583461,4.536509557,-1.331295584,24.30960536,0.2
22,1975 Q3,1.419420294,-1.463765323,2.4243597230000002,-17.65616104,-0.4
23,1975 Q4,1.0543793190000001,0.7616635070000001,2.169042084,0.648090408,-0.2
24,1976 Q1,1.9799802359999998,1.168257614,3.027204713,-2.95006644,-0.6
25,1976 Q2,0.913916067,0.517299061,1.278811007,-1.474557549,0.0
26,1976 Q3,1.0553232559999999,0.733700255,1.303864873,-0.067544751,0.0
27,1976 Q4,1.298898253,0.594583387,1.775377653,-3.576722386,0.2
28,1977 Q1,1.136375865,-0.031080031,2.055160674,-9.160556577000001,-0.4
29,1977 Q2,0.549940731,1.238089553,3.058385074,9.090504035,-0.2
30,1977 Q3,0.949852624,1.518802926,1.103088875,7.944957186,-0.4
31,1977 Q4,1.49599724,1.9145624030000001,0.633468496,6.696276475,-0.4
32,1978 Q1,0.57549599,0.702666874,-0.29339056199999997,2.922963831,-0.1
33,1978 Q2,2.1112095980000003,0.9831413179999999,3.948152635,-6.811142586,-0.4
34,1978 Q3,0.417962788,0.719926198,0.871147014,4.792071621,0.1
35,1978 Q4,0.797927101,0.7855360490000001,1.784479911,2.371184004,0.0
36,1979 Q1,0.505845978,1.0575594640000001,0.42594327,7.774183367999999,-0.2
37,1979 Q2,-0.057753395,-0.8676510479999999,-0.20491943899999998,-5.286348956,-0.1
38,1979 Q3,0.9773001040000001,0.471003402,-0.29723637,-1.845496437,0.2
39,1979 Q4,0.268269822,0.44037974399999996,0.335609285,4.049598096,0.1
