bike_id,start_time,stop_time,start_station,start_lat,start_long,end_station,end_lat,end_long,type,birth_year,gender
26301,2018-02-27T00:11:03Z,2018-02-27T00:15:40Z,3186,40.71958611647166,-74.04311746358871,3203,40.727595966,-74.044247311,Subscriber,1986,Male
26301,2018-02-27T12:52:49Z,2018-02-27T12:58:13Z,3203,40.727595966,-74.044247311,3202,40.7272235,-74.0337589,Subscriber,1979,Male
26301,2018-02-27T17:03:27Z,2018-02-27T17:04:54Z,3202,40.7272235,-74.0337589,3638,40.7242941,-74.0354826,Subscriber,1963,Male
26301,2018-02-27T18:53:51Z,2018-02-27T19:21:04Z,3638,40.7242941,-74.0354826,3638,40.7242941,-74.0354826,Subscriber,1984,Male
26301,2018-02-27T19:30:42Z,2018-02-27T19:33:11Z,3638,40.7242941,-74.0354826,3187,40.7211236,-74.03805095,Subscriber,1980,Male
26301,2018-02-27T21:31:04Z,2018-02-27T21:33:27Z,3187,40.7211236,-74.03805095,3638,40.7242941,-74.0354826,Subscriber,1980,Male
26301,2018-02-27T22:37:12Z,2018-02-27T22:40:49Z,3638,40.7242941,-74.0354826,3639,40.7192517,-74.034234,Subscriber,1989,Male
26301,2018-02-27T22:49:10Z,2018-02-27T22:55:03Z,3639,40.7192517,-74.034234,3202,40.7272235,-74.0337589,Subscriber,1962,Male
26301,2018-02-27T23:21:57Z,2018-02-27T23:25:18Z,3202,40.7272235,-74.0337589,3638,40.7242941,-74.0354826,Subscriber,1992,Male
26301,2018-02-28T03:08:55Z,2018-02-28T03:28:42Z,3638,40.7242941,-74.0354826,3281,40.74590996631558,-74.0572714805603,Subscriber,1981,Male
26301,2018-02-28T13:19:37Z,2018-02-28T13:25:54Z,3281,40.74590996631558,-74.0572714805603,3640,40.73367,-74.0625,Subscriber,1972,Male
26301,2018-02-28T23:17:07Z,2018-02-28T23:25:44Z,3640,40.73367,-74.0625,3210,40.742677141,-74.051788633,Subscriber,1988,Male
26301,2018-03-01T15:27:57Z,2018-03-01T15:34:49Z,3210,40.742677141,-74.051788633,3640,40.73367,-74.0625,Subscriber,1986,Male
26301,2018-03-03T09:12:49Z,2018-03-03T09:21:03Z,3640,40.73367,-74.0625,3281,40.74590996631558,-74.0572714805603,Subscriber,1978,Male
26301,2018-03-03T23:18:47Z,2018-03-03T23:25:24Z,3281,40.74590996631558,-74.0572714805603,3640,40.73367,-74.0625,Subscriber,1978,Male
26301,2018-03-04T08:46:27Z,2018-03-04T08:54:48Z,3640,40.73367,-74.0625,3281,40.74590996631558,-74.0572714805603,Subscriber,1978,Male
26301,2018-03-04T22:18:45Z,2018-03-04T22:25:37Z,3281,40.74590996631558,-74.0572714805603,3640,40.73367,-74.0625,Subscriber,1978,Male
26301,2018-03-05T05:08:53Z,2018-03-05T05:16:39Z,3640,40.73367,-74.0625,3281,40.74590996631558,-74.0572714805603,Subscriber,1978,Male
26301,2018-03-05T12:49:36Z,2018-03-05T12:55:27Z,3281,40.74590996631558,-74.0572714805603,3640,40.73367,-74.0625,Subscriber,1979,Male
26301,2018-03-05T23:41:57Z,2018-03-05T23:46:10Z,3640,40.73367,-74.0625,3206,40.7311689,-74.0575736,Subscriber,1981,Male
26301,2018-03-06T02:05:46Z,2018-03-06T02:10:12Z,3206,40.7311689,-74.0575736,3207,40.7376037,-74.0524783,Subscriber,1983,Male
26301,2018-03-06T13:37:44Z,2018-03-06T13:42:21Z,3207,40.7376037,-74.0524783,3640,40.73367,-74.0625,Subscriber,1985,Male
26301,2018-03-06T23:29:41Z,2018-03-06T23:34:26Z,3640,40.73367,-74.0625,3207,40.7376037,-74.0524783,Subscriber,1980,Male
26301,2018-03-07T03:05:39Z,2018-03-07T03:15:19Z,3207,40.7376037,-74.0524783,3280,40.71928220070702,-74.07126188278198,Subscriber,1990,Male
26301,2018-03-08T15:25:57Z,2018-03-08T15:59:22Z,3280,40.71928220070702,-74.07126188278198,3640,40.73367,-74.0625,Subscriber,1953,Female
26301,2018-03-10T05:27:24Z,2018-03-10T05:38:30Z,3640,40.73367,-74.0625,3210,40.742677141,-74.051788633,Subscriber,1995,Female
26301,2018-03-10T14:08:31Z,2018-03-10T14:20:46Z,3210,40.742677141,-74.051788633,3186,40.71958611647166,-74.04311746358871,Subscriber,1995,Female
26301,2018-03-11T12:57:02Z,2018-03-11T20:11:08Z,3207,40.7376037,-74.0524783,3211,40.72152515,-74.046304543,Customer,1982,Male
26301,2018-03-12T10:58:12Z,2018-03-12T11:01:49Z,3211,40.72152515,-74.046304543,3213,40.71848892,-74.047726625,Subscriber,1991,Male
26301,2018-03-12T11:07:39Z,2018-03-12T11:10:15Z,3213,40.71848892,-74.047726625,3186,40.71958611647166,-74.04311746358871,Subscriber,1962,Female
26301,2018-03-12T12:16:31Z,2018-03-12T12:29:35Z,3269,40.72601172964625,-74.05038893222809,3186,40.71958611647166,-74.04311746358871,Subscriber,1985,Female
26301,2018-03-12T22:00:45Z,2018-03-12T22:05:35Z,3186,40.71958611647166,-74.04311746358871,3269,40.72601172964625,-74.05038893222809,Subscriber,1986,Female
26301,2018-03-13T12:16:25Z,2018-03-13T12:21:36Z,3269,40.72601172964625,-74.05038893222809,3186,40.71958611647166,-74.04311746358871,Subscriber,1978,Male
26301,2018-03-13T20:57:11Z,2018-03-13T21:03:48Z,3267,40.7124188237569,-74.03852552175522,3186,40.71958611647166,-74.04311746358871,Subscriber,1989,Male
26301,2018-03-13T21:45:16Z,2018-03-13T21:50:06Z,3186,40.71958611647166,-74.04311746358871,3203,40.727595966,-74.044247311,Subscriber,1977,Female
26301,2018-03-13T23:34:40Z,2018-03-13T23:40:06Z,3203,40.727595966,-74.044247311,3273,40.721650724879986,-74.04288411140442,Subscriber,1975,Female
26301,2018-03-14T04:03:39Z,2018-03-14T04:07:44Z,3273,40.721650724879986,-74.04288411140442,3203,40.727595966,-74.044247311,Subscriber,1978,Unknown
26301,2018-03-14T12:21:59Z,2018-03-14T12:26:35Z,3203,40.727595966,-74.044247311,3186,40.71958611647166,-74.04311746358871,Subscriber,1971,Male
