Symbol,Date,Open,High,Low,Close,Adj_Close,Volume
AAPL,2014-01-02,79.382858,79.575714,78.860001,79.01857,66.964325,58671200
AAPL,2014-01-03,78.980003,79.099998,77.204285,77.28286,65.493416,98116900
AAPL,2014-01-06,76.778572,78.114288,76.228569,77.704285,65.850533,103152700
AAPL,2014-01-07,77.760002,77.994286,76.845711,77.148575,65.379593,79302300
AAPL,2014-01-08,76.972855,77.937141,76.955711,77.637146,65.793633,64632400
AAPL,2014-01-09,78.114288,78.122856,76.478569,76.645714,64.953445,69787200
AAPL,2014-01-10,77.118568,77.257141,75.872856,76.134285,64.520035,76244000
AAPL,2014-01-13,75.701431,77.5,75.697144,76.53286,64.857819,94623200
AAPL,2014-01-14,76.888573,78.104286,76.808571,78.055717,66.148376,83140400
AAPL,2014-01-15,79.074287,80.028572,78.808571,79.622856,67.476418,97909700
AAPL,2014-01-16,79.271431,79.550003,78.811432,79.178574,67.099922,57319500
AAPL,2014-01-17,78.78286,78.867142,77.128571,77.238571,65.455879,106684900
AAPL,2014-01-21,77.284286,78.581429,77.202858,78.438568,66.472824,82131700
AAPL,2014-01-22,78.701431,79.612854,78.258568,78.78714,66.768219,94996300
AAPL,2014-01-23,78.562859,79.5,77.830002,79.454285,67.333588,100809800
AAPL,2014-01-24,79.14286,79.374283,77.821426,78.010002,66.109619,107338700
AAPL,2014-01-27,78.581429,79.257141,77.964287,78.64286,66.645943,138719700
AAPL,2014-01-28,72.68,73.571426,71.724289,72.35714,61.319111,266380800
AAPL,2014-01-29,71.992859,72.48143,71.23143,71.535713,60.622982,125702500
AAPL,2014-01-30,71.791428,72.35714,70.957146,71.397141,60.505547,169625400
AAPL,2014-01-31,70.739998,71.647141,70.507141,71.514282,60.604813,116199300
AAPL,2014-02-03,71.80143,72.53286,71.328575,71.647141,60.717407,100366000
AAPL,2014-02-04,72.264282,72.779999,71.822861,72.684288,61.59634,94170300
AAPL,2014-02-05,72.365715,73.611427,72.321426,73.227142,62.056385,82086200
AAPL,2014-02-06,72.865715,73.35714,72.544289,73.215714,64.743347,64441300
AAPL,2014-02-07,74.482857,74.704285,73.91143,74.239998,65.649094,92570100
AAPL,2014-02-10,74.094284,75.998573,74,75.57,66.82518,86389800
AAPL,2014-02-11,75.80143,76.821426,75.64286,76.565712,67.705673,70564200
AAPL,2014-02-12,76.707146,77.080002,76.177139,76.559998,67.700623,77025200
AAPL,2014-02-13,76.379997,77.835716,76.314285,77.775711,68.775658,76849500
AAPL,2014-02-14,77.495712,77.997147,77.315712,77.71286,68.720093,68231100
AAPL,2014-02-18,78,78.741432,77.944283,77.998573,68.972733,65062900
AAPL,2014-02-19,77.821426,78.127144,76.335716,76.767143,67.883812,78442000
AAPL,2014-02-20,76.141426,76.714287,75.571426,75.878571,67.098045,76464500
