Time,Demand,Temperature,Date,Holiday
2011-12-31T13:00:00Z,4382.825174,21.4,2012-01-01,TRUE
2011-12-31T13:30:00Z,4263.365526,21.05,2012-01-01,TRUE
2011-12-31T14:00:00Z,4048.966046,20.7,2012-01-01,TRUE
2011-12-31T14:30:00Z,3877.56333,20.55,2012-01-01,TRUE
2011-12-31T15:00:00Z,4036.229746,20.4,2012-01-01,TRUE
2011-12-31T15:30:00Z,3865.597244,20.25,2012-01-01,TRUE
2011-12-31T16:00:00Z,3694.097664,20.1,2012-01-01,TRUE
2011-12-31T16:30:00Z,3561.623686,19.6,2012-01-01,TRUE
2011-12-31T17:00:00Z,3433.035352,19.1,2012-01-01,TRUE
2011-12-31T17:30:00Z,3359.468,18.95,2012-01-01,TRUE
2011-12-31T18:00:00Z,3331.343274,18.8,2012-01-01,TRUE
2011-12-31T18:30:00Z,3304.641186,18.65,2012-01-01,TRUE
2011-12-31T19:00:00Z,3272.106404,18.5,2012-01-01,TRUE
2011-12-31T19:30:00Z,3275.99806,18.85,2012-01-01,TRUE
2011-12-31T20:00:00Z,3370.42409,19.2,2012-01-01,TRUE
2011-12-31T20:30:00Z,3494.418154,20.1,2012-01-01,TRUE
2011-12-31T21:00:00Z,3580.091164,21,2012-01-01,TRUE
2011-12-31T21:30:00Z,3719.985142,22.55,2012-01-01,TRUE
2011-12-31T22:00:00Z,3909.300738,24.1,2012-01-01,TRUE
2011-12-31T22:30:00Z,4092.566212,25.2,2012-01-01,TRUE
2011-12-31T23:00:00Z,4245.024938,26.3,2012-01-01,TRUE
2011-12-31T23:30:00Z,4413.074788,27.7,2012-01-01,TRUE
2012-01-01T00:00:00Z,4599.507418,29.1,2012-01-01,TRUE
2012-01-01T00:30:00Z,4772.133542,30.2,2012-01-01,TRUE
2012-01-01T01:00:00Z,4938.79574,31.3,2012-01-01,TRUE
2012-01-01T01:30:00Z,5080.138254,32,2012-01-01,TRUE
2012-01-01T02:00:00Z,5211.915476,32.7,2012-01-01,TRUE
2012-01-01T02:30:00Z,5328.31718,32.65,2012-01-01,TRUE
2012-01-01T03:00:00Z,5436.420076,32.6,2012-01-01,TRUE
